category_key,query_ru,display_en,title,address,lat,lon,rating,org_url
atm,Банкоматы,ATMs,Банк Уралсиб,"ул. Челюскинцев, 59А, этаж 1",57.154698,65.530739,,https://yandex.ru/maps/org/bank_uralsib/118337604959/
atm,Банкоматы,ATMs,Банк ДОМ.РФ,"ул. Сакко, 31, этаж 1",57.157728,65.546832,,https://yandex.ru/maps/org/bank_dom_rf/56488440607/
atm,Банкоматы,ATMs,Всероссийский банк развития регионов,"ул. Ленина, 67",57.151803,65.539203,,https://yandex.ru/maps/org/vserossiyskiy_bank_razvitiya_regionov/8300173418/
atm,Банкоматы,ATMs,Банк Авангард,"ул. Герцена, 64, БЦ Сити Центр",57.15226,65.532087,,https://yandex.ru/maps/org/bank_avangard/68295662693/
atm,Банкоматы,ATMs,ВТБ,"ул. Орджоникидзе, 63А, Банкоматная зона",57.148678,65.541424,,https://yandex.ru/maps/org/vtb/83854112341/
atm,Банкоматы,ATMs,ВТБ,"Первомайская ул., 34, входная группа, этаж 1",57.15149752,65.53205697,,https://yandex.ru/maps/org/vtb/77719237198/
atm,Банкоматы,ATMs,Сургутнефтегазбанк,"ул. Сакко, 11",57.158088,65.542532,,https://yandex.ru/maps/org/surgutneftegazbank/1172081637/
atm,Банкоматы,ATMs,Т-Банк,"ул. Герцена, 72, этаж 1",57.151006,65.534745,,https://yandex.ru/maps/org/t_bank/129382437552/
atm,Банкоматы,ATMs,ВТБ,"ул. Володарского, 3, В зоне самообслуживания",57.160581,65.530214,,https://yandex.ru/maps/org/vtb/1638944062/
atm,Банкоматы,ATMs,СберБанк,"Первомайская ул., 40, корп. 1",57.151178,65.528660,,https://yandex.ru/maps/org/sberbank/34432501429/
atm,Банкоматы,ATMs,Т-Банк,"ул. Максима Горького, 70, этаж 1",57.148967,65.560110,,https://yandex.ru/maps/org/t_bank/60421074997/
atm,Банкоматы,ATMs,ВТБ,"ул. Володарского, 38, возле главного входа, возле лестницы, этаж 1",57.152506,65.544658,,https://yandex.ru/maps/org/vtb/24732366671/
atm,Банкоматы,ATMs,Райффайзенбанк,"ул. Герцена, 94, банкоматная зона Банкомат №6846, ТЦ Вояж, этаж 1",57.146052,65.541955,,https://yandex.ru/maps/org/rayffayzenbank/1273389542/
atm,Банкоматы,ATMs,Банк Синара,"ул. Республики, 61, этаж 1",57.149039,65.549188,,https://yandex.ru/maps/org/bank_sinara/1018029177/
atm,Банкоматы,ATMs,Газпромбанк,"Перекопская ул., 19, ДЦ Атриум",57.157854,65.519261,,https://yandex.ru/maps/org/gazprombank/67667409867/
atm,Банкоматы,ATMs,"Уральский банк реконструкции и развития, банкомат","ул. Некрасова, 10",57.147170,65.543984,,https://yandex.ru/maps/org/uralskiy_bank_rekonstruktsii_i_razvitiya_bankomat/1138724225/
atm,Банкоматы,ATMs,Кредит Европа банк,"ул. Герцена, 64, этаж 1",57.152238,65.531570,,https://yandex.ru/maps/org/kredit_yevropa_bank/83429072238/
atm,Банкоматы,ATMs,Т-Банк,"ул. Республики, 39",57.155435,65.536619,,https://yandex.ru/maps/org/t_bank/97142746235/
atm,Банкоматы,ATMs,ВТБ,"ул. Осипенко, 79, этаж 1, ТЦ Море",57.156402,65.560891,,https://yandex.ru/maps/org/vtb/170657448375/
atm,Банкоматы,ATMs,СберБанк,"ул. Кирова, 35",57.156822,65.531228,,https://yandex.ru/maps/org/sberbank/69114998249/
atm,Банкоматы,ATMs,Т-Банк,"ул. Некрасова, 10",57.147170,65.543984,,https://yandex.ru/maps/org/t_bank/4704732527/
atm,Банкоматы,ATMs,Банк Русский Стандарт,"ул. Герцена, 64, этаж 1",57.152238,65.531570,,https://yandex.ru/maps/org/bank_russkiy_standart/238526350833/
atm,Банкоматы,ATMs,ОТП банк,"ул. Республики, 94/1",57.141847,65.561349,,https://yandex.ru/maps/org/otp_bank/158129378095/
atm,Банкоматы,ATMs,ВТБ,"ул. Орджоникидзе, 63Б, этаж -1",57.148298,65.541865,,https://yandex.ru/maps/org/vtb/102823031923/
atm,Банкоматы,ATMs,Сбербанк России,"ул. Ленина, 38/1, этаж 1",57.154679,65.532558,,https://yandex.ru/maps/org/sberbank_rossii/28235482673/
atm,Банкоматы,ATMs,Т-Банк,"ул. Луначарского, 9, Тюмень",57.165740,65.512579,,https://yandex.ru/maps/org/t_bank/110750737076/
atm,Банкоматы,ATMs,Россельхозбанк,"ул. Республики, 7",57.160145,65.527470,,https://yandex.ru/maps/org/rosselkhozbank/239147453683/
atm,Банкоматы,ATMs,Банк Синара,"ул. Ленина, 63, этаж 1",57.152931,65.537202,,https://yandex.ru/maps/org/bank_sinara/52443706434/
atm,Банкоматы,ATMs,Т-Банк,"Перекопская ул., 4А",57.160683,65.523503,,https://yandex.ru/maps/org/t_bank/93651849449/
atm,Банкоматы,ATMs,"Альфа-Банк, банкомат","ул. Ленина, 57А",57.154313,65.534696,,https://yandex.ru/maps/org/alfa_bank_bankomat/217971631375/
atm,Банкоматы,ATMs,Ozon Банк,"ул. Орджоникидзе, 63Б, этаж 1",57.148298,65.541865,,https://yandex.ru/maps/org/ozon_bank/203657259182/
atm,Банкоматы,ATMs,Газпромбанк,"ул. Володарского, 38, ТюмГНГУ",57.152506,65.544658,,https://yandex.ru/maps/org/gazprombank/183763437267/
atm,Банкоматы,ATMs,ВТБ,"ул. Герцена, 94, этаж 1",57.146052,65.541955,,https://yandex.ru/maps/org/vtb/232845943558/
atm,Банкоматы,ATMs,Т-Банк,"Мельничная ул., 19, этаж 1",57.146335,65.566057,,https://yandex.ru/maps/org/t_bank/203234615403/
atm,Банкоматы,ATMs,Т-Банк,"ул. Республики, 143А, этаж 1",57.139747,65.567933,,https://yandex.ru/maps/org/t_bank/97831799360/
atm,Банкоматы,ATMs,Сбербанк,"ул. Московский Тракт, 16, этаж 1",57.140836,65.525929,,https://yandex.ru/maps/org/sberbank/142501448456/
atm,Банкоматы,ATMs,ВТБ,"Смоленская ул., 41, этаж 1",57.149108,65.530888,,https://yandex.ru/maps/org/vtb/75672187850/
atm,Банкоматы,ATMs,ВТБ,"Полевая ул., 18, Входная зона",57.162069,65.504019,,https://yandex.ru/maps/org/vtb/44798012083/
atm,Банкоматы,ATMs,"ВТБ, банкомат","Первомайская ул., 20",57.153463,65.532684,,https://yandex.ru/maps/org/vtb_bankomat/199246935921/
atm,Банкоматы,ATMs,Т-банк,"Первомайская ул., 7, Тюмень, этаж 1",57.154425,65.538353,,https://yandex.ru/maps/org/t_bank/147019916039/
atm,Банкоматы,ATMs,Совкомбанк,"ул. Герцена, 103, этаж 1",57.146574,65.544826,,https://yandex.ru/maps/org/sovkombank/100773702119/
atm,Банкоматы,ATMs,Сбербанк,"ул. Малыгина, 51/2",57.142179,65.552653,,https://yandex.ru/maps/org/sberbank/18169887707/
atm,Банкоматы,ATMs,ВТБ,"Ямская ул., 52, Внутри отделения",57.164144,65.502393,,https://yandex.ru/maps/org/vtb/245562081674/
atm,Банкоматы,ATMs,Т-Банк,"Холодильная ул., 75",57.139102,65.558465,,https://yandex.ru/maps/org/t_bank/88024005933/
atm,Банкоматы,ATMs,Альфа-Банк,"ул. Максима Горького, 70, этаж 1",57.148967,65.560110,,https://yandex.ru/maps/org/alfa_bank/1333209305/
atm,Банкоматы,ATMs,Агропромкредит,"ул. Хохрякова, 47, этаж 1",57.155706,65.541980,,https://yandex.ru/maps/org/agropromkredit/1198377242/
atm,Банкоматы,ATMs,Совкомбанк,"ул. Герцена, 103, этаж 1",57.146721,65.545089,,https://yandex.ru/maps/org/sovkombank/184873332363/
atm,Банкоматы,ATMs,ВТБ,"ул. Республики, 129, этаж 1",57.144357,65.560028,,https://yandex.ru/maps/org/vtb/201679541332/
atm,Банкоматы,ATMs,Газпромбанк,"Смоленская ул., 41, этаж 1",57.149108,65.530888,,https://yandex.ru/maps/org/gazprombank/90938915252/
atm,Банкоматы,ATMs,"ВТБ, банкомат","ул. Ленина, 38/1",57.154679,65.532558,,https://yandex.ru/maps/org/vtb_bankomat/210446477514/
atm,Банкоматы,ATMs,Стройлесбанк,"ул. Республики, 65, этаж 1",57.148571,65.550434,,https://yandex.ru/maps/org/stroylesbank/228255749952/
atm,Банкоматы,ATMs,Азиатско-Тихоокеанский банк,"ул. Республики, 65, этаж 1",57.148571,65.550434,,https://yandex.ru/maps/org/aziatsko_tikhookeanskiy_bank/120426737166/
atm,Банкоматы,ATMs,СберБанк,"Даудельная ул., 44, этаж 1",57.151618,65.558744,,https://yandex.ru/maps/org/sberbank/73033519905/
atm,Банкоматы,ATMs,Т-Банк,"Профсоюзная ул., 1, корп. 1",57.159722,65.570045,,https://yandex.ru/maps/org/t_bank/125281123797/
atm,Банкоматы,ATMs,Сургутнефтегазбанк,"ул. Сакко, 11",57.158120,65.542530,,https://yandex.ru/maps/org/surgutneftegazbank/163297974996/
atm,Банкоматы,ATMs,СберБанк,"ул. Калинина, 9",57.142204,65.518104,,https://yandex.ru/maps/org/sberbank/50113666388/
atm,Банкоматы,ATMs,СберБанк,"ул. Ленина, 78",57.147346,65.546185,,https://yandex.ru/maps/org/sberbank/31681827648/
atm,Банкоматы,ATMs,Стройлесбанк,"ул. Республики, 65, этаж -1",57.148717,65.550322,,https://yandex.ru/maps/org/stroylesbank/102092565427/
atm,Банкоматы,ATMs,Совкомбанк,"ул. Республики, 94/1",57.141847,65.561349,,https://yandex.ru/maps/org/sovkombank/57972604263/
atm,Банкоматы,ATMs,СберБанк,"ул. Осипенко, 79",57.156402,65.560891,,https://yandex.ru/maps/org/sberbank/211375538842/
atm,Банкоматы,ATMs,Совкомбанк,"Профсоюзная ул., 11, помещение 1",57.156177,65.564709,,https://yandex.ru/maps/org/sovkombank/48826726775/
atm,Банкоматы,ATMs,Т-Банк,"ул. 50 лет Октября, 8Б",57.153190,65.564467,,https://yandex.ru/maps/org/t_bank/236855839341/
atm,Банкоматы,ATMs,Альфа-Банк,"ул. Ленина, 57А",57.154313,65.534696,,https://yandex.ru/maps/org/alfa_bank/81761195617/
atm,Банкоматы,ATMs,Газпромбанк,"ул. Республики, 86, этаж 1",57.146799,65.551683,,https://yandex.ru/maps/org/gazprombank/176279224501/
atm,Банкоматы,ATMs,ВТБ,"ул. Луначарского, 2, корп. 5, этаж 0",57.166818,65.511690,,https://yandex.ru/maps/org/vtb/195777348994/
atm,Банкоматы,ATMs,Совкомбанк,"ул. 50 лет Октября, 3",57.153297,65.567727,,https://yandex.ru/maps/org/sovkombank/217299229934/
atm,Банкоматы,ATMs,Т-Банк,"ул. Максима Горького, 70, этаж 1",57.148967,65.560110,,https://yandex.ru/maps/org/t_bank/225063874305/
atm,Банкоматы,ATMs,ВТБ,"ул. Орджоникидзе, 63Б, этаж 1",57.148298,65.541865,,https://yandex.ru/maps/org/vtb/204044664175/
atm,Банкоматы,ATMs,ВТБ,"ул. Калинина, 61, стр. 5, Входная группа слева",57.137002,65.515247,,https://yandex.ru/maps/org/vtb/135633142883/
atm,Банкоматы,ATMs,ВТБ,"ул. Луначарского, 2, стр. 1, фойе, главный вход, этаж 1",57.167204,65.514942,,https://yandex.ru/maps/org/vtb/78800140790/
atm,Банкоматы,ATMs,Газпромбанк,"ул. 50 лет Октября, 8Б, БЦ Деловой дом Петр Столыпин, этаж 1",57.153190,65.564467,,https://yandex.ru/maps/org/gazprombank/1442521324/
atm,Банкоматы,ATMs,Совкомбанк,"ул. Республики, 137",57.141764,65.563353,,https://yandex.ru/maps/org/sovkombank/231198764632/
atm,Банкоматы,ATMs,СберБанк,"ул. Максима Горького, 70",57.148967,65.560110,,https://yandex.ru/maps/org/sberbank/10242754893/
atm,Банкоматы,ATMs,Всероссийский банк развития регионов,"ул. Республики, 143А, БЦ Gazoil-Plaza, помещение 96",57.139747,65.567933,,https://yandex.ru/maps/org/vserossiyskiy_bank_razvitiya_regionov/159367466341/
atm,Банкоматы,ATMs,Сбербанк,"Новая ул., 17",57.143537,65.500326,,https://yandex.ru/maps/org/sberbank/1201857691/
atm,Банкоматы,ATMs,ВТБ,"Привокзальная ул., 12, Напртив поста охрана",57.147526,65.517269,,https://yandex.ru/maps/org/vtb/1554169211/
atm,Банкоматы,ATMs,Сбербанк,"ул. Некрасова, 10",57.147170,65.543984,,https://yandex.ru/maps/org/sberbank/196937760182/
atm,Банкоматы,ATMs,Совкомбанк,"ул. Республики, 94",57.142296,65.559813,,https://yandex.ru/maps/org/sovkombank/86801959787/
atm,Банкоматы,ATMs,Альфа-Банк,"Алебашевская ул., 19, этаж 1",57.169980,65.567287,,https://yandex.ru/maps/org/alfa_bank/1479261873/
atm,Банкоматы,ATMs,ВТБ,"Механическая ул., 27, Внутри отделения, этаж 1",57.145031,65.561125,,https://yandex.ru/maps/org/vtb/21569905651/
atm,Банкоматы,ATMs,СберБанк,"Холодильная ул., 77",57.139620,65.559013,,https://yandex.ru/maps/org/sberbank/181515622607/
atm,Банкоматы,ATMs,Газпромбанк,"Алебашевская ул., 19, ТЦ Зелёный Берег",57.169980,65.567287,,https://yandex.ru/maps/org/gazprombank/190911683594/
atm,Банкоматы,ATMs,Газпромбанк,"Перекопская ул., 19, этаж 1",57.157813,65.519488,,https://yandex.ru/maps/org/gazprombank/37927189821/
atm,Банкоматы,ATMs,ВТБ,"Профсоюзная ул., 1, корп. 1, банкоматная зона, этаж 2",57.159722,65.570045,,https://yandex.ru/maps/org/vtb/75057430065/
atm,Банкоматы,ATMs,СберБанк,"ул. Калинина, 61, стр. 5",57.137002,65.515247,,https://yandex.ru/maps/org/sberbank/234333330606/
atm,Банкоматы,ATMs,"ВТБ, банкомат","Ямская ул., 59",57.162387,65.499249,,https://yandex.ru/maps/org/vtb_bankomat/147651878553/
atm,Банкоматы,ATMs,Т-Банк,"Алебашевская ул., 19, этаж 1",57.169980,65.567287,,https://yandex.ru/maps/org/t_bank/187256985346/
atm,Банкоматы,ATMs,Банк ВТБ,"ул. Луначарского, 2, стр. 1",57.167204,65.514942,,https://yandex.ru/maps/org/bank_vtb/95147943337/
atm,Банкоматы,ATMs,Агропромкредит,"ул. Чернышевского, 1, корп. 3",57.157566,65.510437,,https://yandex.ru/maps/org/agropromkredit/40893696668/
